State;total_area_km2;land_area_km2;water_area_km2;water_
AL;135767;131171;4597;3.4
AK;1723337;1477953;245383;14.2
AS;1505;198;1307;86.9
AZ;295234;294207;1026;0.3
AR;137732;134771;2961;2.1
CA;423967;403466;20501;4.8
CO;269601;268431;1170;0.4
CT;14357;12542;1816;12.6
DE;6446;5047;1399;21.7
DC;177;158;19;10.3
FL;170312;138887;31424;18.5
GA;153910;148959;4951;3.2
GU;1478;543;935;63.2
HI;28313;16635;11678;41.2
ID;216443;214045;2398;1.1
IL;149995;143793;6202;4.1
IN;94326;92789;1537;1.6
IA;145746;144669;1077;0.7
KS;213100;211754;1346;0.6
KY;104656;102269;2387;2.3
LA;135659;111898;23761;17.5
ME;91633;79883;11750;12.8
MD;32131;25142;6990;21.8
MA;27336;20202;7134;26.1
MI;250487;146435;104052;41.5
MN;225163;206232;18930;8.4
MS;125438;121531;3907;3.1
MO;180540;178040;2501;1.4
MT;380831;376962;3869;1.0
NE;200330;198974;1356;0.7
NV;286380;284332;2048;0.7
NH;24214;23187;1027;4.2
NJ;22591;19047;3544;15.7
NM;314917;314161;757;0.2
NY;141297;122057;19240;13.6
NC;139391;125920;13471;9.7
ND;183108;178711;4397;2.4
MP;5117;472;4644;90.7
OH;116098;105829;10269;8.8
OK;181037;177660;3377;1.9
OR;254799;248608;6191;2.4
PA;119280;115883;3397;2.8
PR;13791;8868;4924;35.7
RI;4001;2678;1324;33.1
SC;82933;77857;5076;6.1
SD;199729;196350;3379;1.7
TN;109153;106798;2355;2.2
TX;695662;676587;19075;2.7
VI;1898;348;1550;81.7
UT;219882;212818;7064;3.2
VT;24906;23871;1035;4.2
VA;110787;102279;8508;7.7
WA;184661;172119;12542;6.8
WV;62756;62259;497;0.8
WI;169635;140268;29367;17.3
WY;253335;251470;1864;0.7
