"Error getting city for: (30.7642828, -94.8192175): 'city'"
"Error getting city for: (39.64706290932703, -75.74640925131816): 'city'"
"Error getting city for: (37.8384598, -79.3798603): 'city'"
"Error getting city for: (35.6608869, -82.0482171): 'city'"
"Error getting city for: (41.206668, -91.2683976): 'city'"
"Error getting city for: (38.0772859, -89.3760499): 'city'"
"Error getting city for: (34.58436397170878, -118.35874157467812): 'city'"
"Error getting city for: (35.1470851, -92.3219053): 'city'"
"Error getting city for: (33.67926375424936, -88.15773310355192): 'city'"
"Error getting city for: (35.84857, -84.5225522): 'city'"
"Error getting city for: (36.6257937, -88.271076): 'city'"
"Error getting city for: (37.5131191, -77.3465081): 'city'"
"Error getting city for: (37.1999181, -86.2206738): 'city'"
"Error getting city for: (38.41526407975829, -92.88863719582442): 'city'"
"Error getting city for: (32.32817, -106.849423): 'city'"
"Error getting city for: (31.185630038853116, -87.17234983063524): 'city'"
"Error getting city for: (43.4136539, -116.2367421): 'city'"
"Error getting city for: (28.2100203, -80.7997185): 'city'"
"Error getting city for: (37.29513557866238, -77.95828586384073): 'city'"
"Error getting city for: (30.7642828, -94.8192175): 'city'"
"Error getting city for: (45.44397717453866, -122.57771100487405): 'city'"
"Error getting city for: (39.62428508095728, -122.20521421214596): 'city'"
"Error getting city for: (30.857421, -88.6537118): 'city'"
"Error getting city for: (35.624480433852824, -95.9240293344817): 'city'"
"Error getting city for: (29.834772, -94.1704496): 'city'"
"Error getting city for: (30.521479648752756, -88.97513523667071): 'city'"
"Error getting city for: (35.9467093, -83.103978): 'city'"
"Error getting city for: (32.39091193606839, -85.07563490771673): 'city'"
"Error getting city for: (30.3031353, -96.9588587): 'city'"
"Error getting city for: (35.1663375, -88.5766172): 'city'"
"Error getting city for: (37.47344773152717, -93.6697486288181): 'city'"
"Error getting city for: (33.86642602156629, -82.30745088092388): 'city'"
"Error getting city for: (39.0520902, -88.6029006): 'city'"
"Error getting city for: (40.087378752975575, -88.03343156300757): 'city'"
"Error getting city for: (36.76547085780395, -85.2074479055641): 'city'"
"Error getting city for: (33.54348967598082, -84.28239302231883): 'city'"
"Error getting city for: (36.3926798, -79.744144): 'city'"
"Error getting city for: (37.48107362901827, -86.69053857057169): 'city'"
"Error getting city for: (41.94837626601358, -85.29265027116398): 'city'"
"Error getting city for: (36.2231079, -121.387742): 'city'"
"Error getting city for: (39.33160974359246, -94.89732706304466): 'city'"
"Error getting city for: (35.0184869728184, -82.57272400582126): 'city'"
"Error getting city for: (35.3001216, -90.7750181): 'city'"
"Error getting city for: (40.8077797, -84.0572225): 'city'"
"Error getting city for: (40.27942365979792, -112.1491746102267): 'city'"
"Error getting city for: (38.2722313, -90.1792484): 'city'"
"Error getting city for: (33.889616197835934, -84.54657516356808): 'city'"
"Error getting city for: (63.069115, -151.006239): 'city'"
"Error getting city for: (40.3348338, -111.1186992): 'city'"
"Error getting city for: (35.18705826743472, -91.87752777698364): 'city'"
"Error getting city for: (37.750075, -88.5302584): 'city'"
"Error getting city for: (32.7931661, -94.344488): 'city'"
"Error getting city for: (41.9139808, -88.3128183): 'city'"
"Error getting city for: (32.900944, -102.504833): 'city'"
"Error getting city for: (38.44205053977734, -77.40255200471296): 'city'"
"Error getting city for: (39.8430622592744, -104.98797791150103): 'city'"
"Error getting city for: (30.7642828, -94.8192175): 'city'"
"Error getting city for: (39.64706290932703, -75.74640925131816): 'city'"
"Error getting city for: (37.8384598, -79.3798603): 'city'"
"Error getting city for: (35.6608869, -82.0482171): 'city'"
"Error getting city for: (41.206668, -91.2683976): 'city'"
"Error getting city for: (38.0772859, -89.3760499): 'city'"
"Error getting city for: (34.58436397170878, -118.35874157467812): 'city'"
"Error getting city for: (35.1470851, -92.3219053): 'city'"
